Origen,Destino,Empresa,Tarifa,Tipo de Servicio
Colotto,Reduccion,Alejandro SRL,1465.2561645770559,Regular
Rio Cuarto,Morlheire,Alejandro SRL,1465.2561645770559,Regular
Morlheire,Alejandro Roca,Alejandro SRL,7839.333363044459,Regular
Rio Cuarto,Reduccion,Alejandro SRL,7839.333363044459,Regular
Colotto,Alejandro Roca,Alejandro SRL,5421.569456023417,Regular
Morlheire,Reduccion,Alejandro SRL,5421.569456023417,Regular
Rio Cuarto,Colotto,Alejandro SRL,5421.569456023417,Regular
Rio Cuarto,Alejandro Roca,Alejandro SRL,10696.856591597763,Regular
Rio Cuarto,Afirmado,Alejandro SRL,9304.589526400167,Regular
Galfre,Alejandro Roca,Alejandro SRL,3956.3132914463586,Regular
Galfre,Reduccion,Alejandro SRL,3956.3132914463586,Regular
Reduccion,Alejandro Roca,Alejandro SRL,3956.3132914463586,Regular
Rio Cuarto,Galfre,Alejandro SRL,3956.3132914463586,Regular
DESPEÑADEROS ,CORDOBA,Canello Hnos S.R.L,7150.764593598862,REG-DIFERENCIAL
DESPEÑADEROS ,CORDOBA,Canello Hnos S.R.L,7150.764593598862,REG-DIFERENCIAL
DESPEÑADEROS ,RAFAEL GARCIA,Canello Hnos S.R.L,5545.081653327131,REG-DIFERENCIAL
RAFAEL GARCIA,CORDOBA,Canello Hnos S.R.L,5545.081653327131,REG-DIFERENCIAL
SAN BARTOLOME,LA FRANCIA,Canello Hnos S.R.L,5339.932670717781,REG-COMÚN
CRUCE ALEJANDRO,CRUCE LAS ACEQUIAS,CAR BUS SRL,6994.788662024266,REGULAR
CRUCE ALEJANDRO,PASO DEL DURAZNO,CAR BUS SRL,7298.909908199233,REGULAR
CRUCE ALEJANDRO,REDUCCION,CAR BUS SRL,3649.4549540996163,REGULAR
CRUCE ALEJANDRO,RIO CUARTO,CAR BUS SRL,9731.879877598982,REGULAR
CRUCE LAS ACEQUIAS,PASO DEL DURAZNO,CAR BUS SRL,3041.212461749682,REGULAR
CRUCE LAS ACEQUIAS,RIO CUARTO,CAR BUS SRL,5778.303677324395,REGULAR
CRUCE LOS CISNES,CRUCE ALEJANDRO,CAR BUS SRL,4561.818692624522,REGULAR
CRUCE LOS CISNES,CRUCE LAS ACEQUIAS,CAR BUS SRL,8515.394892899109,REGULAR
CRUCE LOS CISNES,PASO DEL DURAZNO,CAR BUS SRL,10036.001123773949,REGULAR
CRUCE LOS CISNES,REDUCCION,CAR BUS SRL,6538.606792761814,REGULAR
CRUCE LOS CISNES,RIO CUARTO,CAR BUS SRL,12468.971093173688,REGULAR
LA CARLOTA,CRUCE ALEJANDRO,CAR BUS SRL,6690.667415849298,REGULAR
LA CARLOTA,CRUCE LAS ACEQUIAS,CAR BUS SRL,10340.122369948922,REGULAR
LA CARLOTA,CRUCE LOS CISNES,CAR BUS SRL,4561.818692624522,REGULAR
LA CARLOTA,PASO DEL DURAZNO,CAR BUS SRL,12773.092339348661,REGULAR
LA CARLOTA,REDUCCION,CAR BUS SRL,8819.51613907408,REGULAR
LA CARLOTA,RIO CUARTO,CAR BUS SRL,16118.426047273308,REGULAR
P DEL DURAZNO,RIO CUARTO,CAR BUS SRL,4257.697446449554,REGULAR
REDUCCION,CRUCE LAS ACEQUIAS,CAR BUS SRL,3649.4549540996163,REGULAR
REDUCCION,PASO DEL DURAZNO,CAR BUS SRL,6994.788662024266,REGULAR
REDUCCION,RIO CUARTO,CAR BUS SRL,8515.394892899109,REGULAR
CARLOS PAZ,CORDOBA,CAR COR S.R.L.,4767.330180577111,REGULAR DIFERENCIAL HASTA 25 ASIENTOS
CARLOS PAZ,CORDOBA,CAR COR S.R.L.,4767.330180577111,REGULAR DIFERENCIAL MÁS DE 25 ASIENTOS
CRUCE A . ROCA ,RIO CUARTO ,COATA SA,10088.874386930058,REGULAR
CRUCE A . ROCA ,REDUCCION ,COATA SA,4241.9130945046845,REGULAR
CRUCE A . ROCA ,PASO DEL DURAZNO ,COATA SA,6878.7779910886775,REGULAR
ALEJO LEDESMA ,CRUCE A.ROCA ,COATA SA,14244.044900311053,REGULAR
ARIAS ,CRUCE A.ROCA ,COATA SA,17439.824204868026,REGULAR
CRUCE A . ROCA ,CRUCE LAS ACEQUIAS ,COATA SA,5846.961292425378,REGULAR
ALE. ROCA ,CRUCE A.ROCA ,COATA SA,1261.1092983662572,REGULAR
ALE. ROCA ,CRUCE LAS ACEQUIAS ,COATA SA,4471.20569420764,REGULAR
ALE. ROCA ,PASO DEL DURAZNO ,COATA SA,5503.022392870942,REGULAR
ALE. ROCA ,REDUCCION ,COATA SA,2866.1574962869486,REGULAR
ALE. ROCA ,RIO CUARTO ,COATA SA,8713.118788712325,REGULAR
ALEJO LEDESMA ,ALE.ROCA,COATA SA,15247.957880246568,REGULAR
ALEJO LEDESMA ,BENJAMIN GOULD ,COATA SA,2636.8648965839934,REGULAR
ALEJO LEDESMA ,CANALS ,COATA SA,5159.083493316508,REGULAR
ALEJO LEDESMA ,CRUCE LAS ACEQUIAS ,COATA SA,18801.993175642387,REGULAR
ALEJO LEDESMA ,LA CARLOTA,COATA SA,11235.337385444833,REGULAR
ALEJO LEDESMA ,P.de OLMOS ,COATA SA,8254.533589306413,REGULAR
ALEJO LEDESMA ,PASO DEL DURAZNO ,COATA SA,19604.517274602727,REGULAR
ALEJO LEDESMA ,REDUCCION ,COATA SA,17540.883877276126,REGULAR
ALEJO LEDESMA ,RIO CUARTO ,COATA SA,22126.735871335244,REGULAR
ALEJO LEDESMA ,SAN SEVERO ,COATA SA,7452.0094903460695,REGULAR
ARIAS ,ALE.ROCA,COATA SA,18572.700575939427,REGULAR
ARIAS ,ALEJO LEDESMA,COATA SA,4241.9130945046845,REGULAR
ARIAS ,BENJAMIN GOULD ,COATA SA,5617.668692722416,REGULAR
ARIAS ,CANALS ,COATA SA,7452.0094903460695,REGULAR
ARIAS ,CRUCE LAS ACEQUIAS ,COATA SA,22126.735871335244,REGULAR
ARIAS ,LA CARLOTA,COATA SA,13757.555982177355,REGULAR
ARIAS ,LOS CISNES ,COATA SA,14789.372680840652,REGULAR
ARIAS ,P.de OLMOS ,COATA SA,11693.922584850756,REGULAR
ARIAS ,PASO DEL DURAZNO ,COATA SA,22929.25997029559,REGULAR
ARIAS ,REDUCCION ,COATA SA,20865.62657296898,REGULAR
ARIAS ,RIO CUARTO ,COATA SA,25566.124866879578,REGULAR
ARIAS ,SAN SEVERO ,COATA SA,10547.459586335974,REGULAR
BENJAMIN GOULD ,ALE.ROCA,COATA SA,14517.96884070165,REGULAR
BENJAMIN GOULD ,CANALS ,COATA SA,3554.0352953958163,REGULAR
BENJAMIN GOULD ,CRUCE A.ROCA ,COATA SA,13422.273079139264,REGULAR
BENJAMIN GOULD ,CRUCE A.ROCA ,COATA SA,13422.273079139264,REGULAR
BENJAMIN GOULD ,CRUCE LAS ACEQUIAS ,COATA SA,18170.288045909605,REGULAR
BENJAMIN GOULD ,LA CARLOTA,COATA SA,9171.703988118235,REGULAR
BENJAMIN GOULD ,LOS CISNES ,COATA SA,10662.105886187454,REGULAR
BENJAMIN GOULD ,P.de OLMOS ,COATA SA,7452.0094903460695,REGULAR
BENJAMIN GOULD ,PASO DEL DURAZNO ,COATA SA,19083.367847211604,REGULAR
BENJAMIN GOULD ,REDUCCION ,COATA SA,16344.128443305635,REGULAR
BENJAMIN GOULD ,RIO CUARTO ,COATA SA,21731.299270987383,REGULAR
BENJAMIN GOULD ,SAN SEVERO ,COATA SA,5617.668692722416,REGULAR
CANALS,ALE.ROCA,COATA SA,12840.385583365533,REGULAR
CANALS,CRUCE A.ROCA ,COATA SA,11693.922584850756,REGULAR
CANALS,CRUCE A.ROCA ,COATA SA,11693.922584850756,REGULAR
CANALS,CRUCE LAS ACEQUIAS ,COATA SA,16853.006078167262,REGULAR
CANALS,LA CARLOTA,COATA SA,7337.3631904945905,REGULAR
CANALS,LOS CISNES ,COATA SA,8827.765088563803,REGULAR
CANALS,P.de OLMOS ,COATA SA,4700.498293910597,REGULAR
CANALS,PASO DEL DURAZNO ,COATA SA,17770.17647697908,REGULAR
CANALS,REDUCCION ,COATA SA,15477.250479949527,REGULAR
CANALS,RIO CUARTO ,COATA SA,20521.68767341454,REGULAR
CANALS,SAN SEVERO ,COATA SA,3783.3278950987724,REGULAR
CRUCE A . ROCA ,ALE.ROCA,COATA SA,1261.1092983662572,REGULAR
CRUCE LAS ACEQUIAS ,PASO DEL DURAZNO ,COATA SA,1261.1092983662572,REGULAR
CRUCE LAS ACEQUIAS ,RIO CUARTO ,COATA SA,4471.20569420764,REGULAR
LA CARLOTA ,ALE.ROCA,COATA SA,7337.3631904945905,REGULAR
LA CARLOTA ,CRUCE A.ROCA ,COATA SA,5961.607592276854,REGULAR
LA CARLOTA ,CRUCE A.ROCA ,COATA SA,5961.607592276854,REGULAR
LA CARLOTA ,CRUCE LAS ACEQUIAS ,COATA SA,11808.56888470223,REGULAR
LA CARLOTA ,LOS CISNES ,COATA SA,2636.8648965839934,REGULAR
LA CARLOTA ,PASO DEL DURAZNO ,COATA SA,12840.385583365533,REGULAR
LA CARLOTA ,REDUCCION ,COATA SA,10203.520686781532,REGULAR
LA CARLOTA ,RIO CUARTO ,COATA SA,16050.48197920692,REGULAR
LOS CISNES ,ALE.ROCA,COATA SA,4700.498293910597,REGULAR
LOS CISNES ,CRUCE A.ROCA ,COATA SA,3324.7426956928603,REGULAR
LOS CISNES ,CRUCE A.ROCA ,COATA SA,3324.7426956928603,REGULAR
LOS CISNES ,CRUCE LAS ACEQUIAS ,COATA SA,9171.703988118235,REGULAR
LOS CISNES ,PASO DEL DURAZNO ,COATA SA,10203.520686781532,REGULAR
LOS CISNES ,REDUCCION ,COATA SA,7566.655790197545,REGULAR
LOS CISNES ,RIO CUARTO ,COATA SA,13413.617082622923,REGULAR
P.de OLMOS ,ALE.ROCA,COATA SA,9057.057688266757,REGULAR
P.de OLMOS ,CRUCE A.ROCA ,COATA SA,7910.594689751979,REGULAR
P.de OLMOS ,CRUCE A.ROCA ,COATA SA,7910.594689751979,REGULAR
P.de OLMOS ,CRUCE LAS ACEQUIAS ,COATA SA,12955.03188321701,REGULAR
P.de OLMOS ,LA CARLOTA,COATA SA,3324.7426956928603,REGULAR
